State,Year,Name,Stars,Rating
MI,2006,Brandon Graham,5,0.9930
MI,2006,Jeff Lindsay,3,0.8875
MI,2006,John Maddox,3,0.8795
MI,2006,Patrick Rigan,3,0.8750
MI,2006,Anthony Bowman,3,0.8715
MI,2006,Adrian Cannon,3,0.8622
MI,2006,Neli A'asa,3,0.8556
MI,2006,Quintin Woods,3,0.8556
MI,2006,John Stipek,3,0.8399
MI,2006,Matt Malouf,3,0.8333
MI,2006,Obi Ezeh,3,0.8260
MI,2006,Jeff Maddux,3,0.8208
MI,2006,John Goebel,3,0.8149
MI,2006,Derek Brighton,3,0.8038
MI,2006,Jim O'Neill,3,0.7990
MI,2006,Ben Hunderman,2,0.7958
MI,2006,Sidney Stewart,2,0.7944
MI,2006,Robert Eddins,2,0.7889
MI,2006,Terrence Blevins,2,0.7889
MI,2006,Mike Canfield,2,0.7889
MI,2006,Chris Pyant,2,0.7816
MI,2006,Phil Swanson,2,0.7667
MI,2006,Anthony Quinn,2,0.7667
MI,2006,Donald Connelly,2,0.7667
MI,2006,Tarell Lewis,2,0.7667
MI,2006,L.J. Robertson,2,0.7444
MI,2006,Clint Allen,2,0.7444
MI,2006,Matt Pickens,2,0.7222
MI,2006,Richard Franklin,2,0.7222
MI,2006,Cam Bramer,2,0.7222
MI,2006,Danny Richard,2,0.7222
MI,2006,Mark Mitchell,2,0.7222
MI,2006,Derrick Hunter,2,0.7000
MI,2006,Vince Agnew,2,0.7000
MI,2006,T.J. Lang,2,0.7000
MI,2006,Brandon Pratt,2,0.7000
MI,2006,Josh LeDuc,2,0.7000
MI,2006,Levi Brezee,2,0.7000
MI,2006,Dannie Bolden,2,0.7000
MI,2006,Derrick Summers,2,0.7000
MI,2006,Stephen Johnson,2,0.7000
OH,2006,Beanie Wells,5,0.9965
OH,2006,Robert Rose,5,0.9845
OH,2006,Connor Smith,4,0.9801
OH,2006,Justin Boren,4,0.9783
OH,2006,Thaddeus Gibson,4,0.9518
OH,2006,Aaron Brown,4,0.9415
OH,2006,Jeff Cumberland,4,0.9391
OH,2006,Ray Small,4,0.9337
OH,2006,Kurt Coleman,4,0.9293
OH,2006,Ross Homan,4,0.9136
OH,2006,Bryan Wright,4,0.9029
OH,2006,Lance Smith,4,0.9004
OH,2006,Cobrani Mixon,3,0.8875
OH,2006,Lee Tilley,3,0.8844
OH,2006,John Ryan,3,0.8826
OH,2006,Josh Chichester,3,0.8795
OH,2006,Mark Jackson,3,0.8778
OH,2006,Joe Thomas,3,0.8753
OH,2006,Zachary Meagher,3,0.8738
OH,2006,Kallen Wade,3,0.8733
OH,2006,Ricky Stanzi,3,0.8639
OH,2006,Daven Jones,3,0.8590
OH,2006,Jovani Chappel,3,0.8559
OH,2006,Jamar Howard,3,0.8556
OH,2006,Troy Pascley,3,0.8542
OH,2006,Nate Davis,3,0.8510
OH,2006,Robby Parris,3,0.8497
OH,2006,Anthony Elzy,3,0.8479
OH,2006,Terrence Sherrer,3,0.8465
OH,2006,Arvell Nelson,3,0.8385
OH,2006,Robert Williams,3,0.8354
OH,2006,Alex Albright,3,0.8333
OH,2006,Royce Adams,3,0.8333
OH,2006,Michael Hartline,3,0.8333
OH,2006,Igor Iveljic,3,0.8333
OH,2006,Derrell Johnson,3,0.8333
OH,2006,Jared Dewalt,3,0.8333
OH,2006,Brett Huffman,3,0.8333
OH,2006,Delone Carter,3,0.8333
OH,2006,D.J. Burris,3,0.8333
OH,2006,Antonio James,3,0.8333
OH,2006,Bill Nagy,3,0.8333
OH,2006,Armand Robinson,3,0.8306
OH,2006,Jamel Miller,3,0.8274
OH,2006,Ray Fisher,3,0.8181
OH,2006,Jarrod Smith,3,0.8177
OH,2006,Clark Crum,3,0.8167
OH,2006,Jahmal Brown,3,0.8149
OH,2006,P.J. Mahone,3,0.8111
OH,2006,Bryant Milligan,3,0.8111
OH,2006,Chris Harrison,3,0.8111
OH,2006,J'Michael Deane,3,0.8111
OH,2006,Bob Gulley,3,0.8101
OH,2006,Jordan Gafford,3,0.8007
OH,2006,Jacob Black,2,0.7889
OH,2006,Taylor Price,2,0.7889
OH,2006,John Humphrey,2,0.7889
OH,2006,Bruce Frieson,2,0.7889
OH,2006,Aaron Opelt,2,0.7889
OH,2006,Skylaar Constant,2,0.7889
OH,2006,Joe Morgan,2,0.7889
OH,2006,Matt Fought,2,0.7889
OH,2006,Christen Haywood,2,0.7889
OH,2006,Chad Schofield,2,0.7889
OH,2006,Dominic Alford,2,0.7889
OH,2006,Alex Knipp,2,0.7889
OH,2006,Chris Meenan,2,0.7847
OH,2006,Reilly Lauer,2,0.7799
OH,2006,Amin Kabir,2,0.7667
OH,2006,D.J. Svabik,2,0.7667
OH,2006,Gary Rice,2,0.7667
OH,2006,Peris Edwards,2,0.7667
OH,2006,Brad Martin,2,0.7667
OH,2006,Jacob Ramsey,2,0.7667
OH,2006,Pete Saxon,2,0.7667
OH,2006,Casey Kjos,2,0.7667
OH,2006,Jake Miller,2,0.7667
OH,2006,Darius Lewis,2,0.7667
OH,2006,Jerome Jones,2,0.7667
OH,2006,Cody Blevins,2,0.7667
OH,2006,Mark Jackson,2,0.7667
OH,2006,Anthony Mirando,2,0.7667
OH,2006,Donovan Potter,2,0.7667
OH,2006,Joe Underwood,2,0.7667
OH,2006,Nate Cole,2,0.7667
OH,2006,Derrick Smith,2,0.7667
OH,2006,Levi George,2,0.7667
OH,2006,Sean Redwine,2,0.7667
OH,2006,Benjamin Kelly,2,0.7444
OH,2006,Mark Paun,2,0.7444
OH,2006,Jeff Cleveland,2,0.7444
OH,2006,Toby Boeckman,2,0.7444
OH,2006,Tyler Sheehan,2,0.7444
OH,2006,Myles Trempe,2,0.7444
OH,2006,Alex Steigerwald,2,0.7444
OH,2006,Rodger Saffold,2,0.7444
OH,2006,Lindsey Witten,2,0.7444
OH,2006,Cody Karr,2,0.7444
OH,2006,Brandon Miller,2,0.7444
OH,2006,Caleb Bostic,2,0.7444
OH,2006,Kris Luchsinger,2,0.7444
OH,2006,Angelo Magnone,2,0.7222
OH,2006,Brian Lainhart,2,0.7222
OH,2006,Marcellis Williamson,2,0.7222
OH,2006,Nathan Reed,2,0.7222
OH,2006,Curtis Eaton,2,0.7222
OH,2006,Robert Mercer,2,0.7222
OH,2006,Tyrone Pronty,2,0.7222
OH,2006,Julian Posey,2,0.7222
OH,2006,Pat Reedy,2,0.7222
OH,2006,Shane Bowen,2,0.7222
OH,2006,Josh Tillman,2,0.7222
OH,2006,Carlos Tipton,2,0.7222
OH,2006,Pete Reese,2,0.7222
OH,2006,Ryan Downard,2,0.7000
OH,2006,Robert Hightower,2,0.7000
OH,2006,Jake Kilroy,2,0.7000
OH,2006,Donovan Fletcher,2,0.7000
OH,2006,Kevin Hogan,2,0.7000
OH,2006,Dan Hartman,2,0.7000
OH,2006,Joshua Cousins,2,0.7000
OH,2006,Desmond Marrow,2,0.7000
MI,2007,Ronald Johnson,5,0.9923
MI,2007,Dionte Allen,4,0.9781
MI,2007,Joseph Barksdale,4,0.9721
MI,2007,Mark Dell,4,0.9329
MI,2007,Ryan Van Bergen,4,0.9183
MI,2007,Darris Sawtelle,4,0.8986
MI,2007,Keith Nichol,4,0.8986
MI,2007,Cedric Everson,4,0.8906
MI,2007,Quincy Landingham,3,0.8875
MI,2007,Martell Webb,3,0.8844
MI,2007,Steven Threet,3,0.8781
MI,2007,Josh Rooks,3,0.8622
MI,2007,Derek Knight,3,0.8608
MI,2007,Vince Helmuth,3,0.8542
MI,2007,Josh Allison,3,0.8528
MI,2007,George White,3,0.8497
MI,2007,Kaunda Hancock,3,0.8479
MI,2007,Darrell Davis-Budanauro,3,0.8417
MI,2007,James Rogers,3,0.8417
MI,2007,James Stallons,3,0.8417
MI,2007,Rocky Weaver,3,0.8399
MI,2007,Cameron Joplin,3,0.8385
MI,2007,Mark Huyge,3,0.8340
MI,2007,Ryan Wheat,3,0.8333
MI,2007,Ryan Breen,3,0.8257
MI,2007,Darius Johnson,3,0.8243
MI,2007,Mike Cappetto,3,0.8177
MI,2007,Ashton Leggett,3,0.8167
MI,2007,DeMarcus Grady,3,0.8163
MI,2007,Audie Cole,3,0.8038
MI,2007,Chris Rucker,3,0.8021
MI,2007,Kevin Pickelman,3,0.7990
MI,2007,Brandon Carnegie,2,0.7785
MI,2007,Tyler Palsrok,2,0.7674
MI,2007,Alex Delisi,2,0.7667
MI,2007,Kyle McMahon,2,0.7517
MI,2007,Mike VanDerMeulen,2,0.7444
MI,2007,Ian Reeves,2,0.7222
MI,2007,Bridger Buche,2,0.7222
MI,2007,Chris Starkey,2,0.7222
MI,2007,Kevin Long,2,0.7222
MI,2007,AnDrew Johnson,2,0.7222
MI,2007,Brandon Slater,2,0.7222
MI,2007,Deon Reed,2,0.7222
MI,2007,Jeremy Wilson,2,0.7222
MI,2007,Preston Burrell,2,0.7222
MI,2007,Mike Petrucci,2,0.7222
MI,2007,Chris Bittner,2,0.7222
MI,2007,Brad Ohrman,2,0.7222
MI,2007,Zach Benke,2,0.7222
MI,2007,Maurice Goodrum,2,0.7222
MI,2007,Raymond Hutson,2,0.7222
MI,2007,Dan Youssif,2,0.7222
MI,2007,Derek Gotham,2,0.7222
MI,2007,Marty Cardwell,2,0.7222
MI,2007,Lance Beers,2,0.7222
MI,2007,Ben Bojicic,2,0.7222
OH,2007,Ben Martin,5,0.9874
OH,2007,Eugene Clifford,5,0.9849
OH,2007,Devon Torrence,4,0.9417
OH,2007,Dewey Elliot,4,0.9413
OH,2007,Brandon Saine,4,0.9360
OH,2007,Nate Oliver,4,0.9202
OH,2007,C.J. Peake,4,0.9000
OH,2007,Mark Jackson,3,0.8875
OH,2007,Sidney Glover,3,0.8795
OH,2007,Lebron Daniel,3,0.8778
OH,2007,Daniel Herron,3,0.8750
OH,2007,Vincent Browne,3,0.8733
OH,2007,Morgan Williams,3,0.8701
OH,2007,Clay Belton,3,0.8653
OH,2007,Chris Smith,3,0.8653
OH,2007,Kyle Jefferson,3,0.8622
OH,2007,Nick Schepis,3,0.8622
OH,2007,David Arnold,3,0.8590
OH,2007,Skylar Jones,3,0.8590
OH,2007,Mark Wetterer,3,0.8528
OH,2007,Jordan Mabin,3,0.8514
OH,2007,Daryle Ballew,3,0.8479
OH,2007,Diauntae Morrow,3,0.8469
OH,2007,Ryan Gillum,3,0.8465
OH,2007,Derrick Sherman,3,0.8465
OH,2007,Charlie Hatcher,3,0.8417
OH,2007,Frank Edmonds,3,0.8403
OH,2007,Jeff Rieskamp,3,0.8385
OH,2007,Julian Miller,3,0.8385
OH,2007,Brian Gamble,3,0.8372
OH,2007,Vince Harris,3,0.8368
OH,2007,Erique Robertson,3,0.8354
OH,2007,Zach Collaros,3,0.8333
OH,2007,Mark Wooldridge,3,0.8333
OH,2007,Otis Merrill,3,0.8333
OH,2007,Ryan Collado,3,0.8333
OH,2007,Eric Thomas,3,0.8323
OH,2007,Steve Matas,3,0.8323
OH,2007,Ricardo Thompson,3,0.8306
OH,2007,Kyle Hubbard,3,0.8292
OH,2007,B.J. Cunningham,3,0.8292
OH,2007,Zach Furlong,3,0.8274
OH,2007,Charles Brown,3,0.8274
OH,2007,Chazz Anderson,3,0.8260
OH,2007,Oren Wilson,3,0.8241
OH,2007,Mitchell Evans,3,0.8212
OH,2007,Ken Bruton,3,0.8212
OH,2007,Hosea Simpson,3,0.8198
OH,2007,Marlin Parker,3,0.8198
OH,2007,Kendall Washington,3,0.8177
OH,2007,Taylor Bradley,3,0.8163
OH,2007,Bruce Davis,3,0.8135
OH,2007,Brandon Walker,3,0.8111
OH,2007,Brandon Thomas,3,0.8111
OH,2007,Alex Kaufman,3,0.8111
OH,2007,Gary Pride,3,0.8069
OH,2007,Chris Givens,3,0.8056
OH,2007,Frank Becker,3,0.8052
OH,2007,Jafe Pitcock,3,0.8007
OH,2007,Rob Reiland,3,0.7990
OH,2007,Marcus English,3,0.7972
OH,2007,Jeff Lucas,2,0.7958
OH,2007,Tyler Replogle,2,0.7958
OH,2007,Rob Trigg,2,0.7944
OH,2007,Ben Burkett,2,0.7944
OH,2007,Daniel Ifft,2,0.7941
OH,2007,Pete Rolf,2,0.7927
OH,2007,Zac Clark,2,0.7896
OH,2007,Kevin Koncelik,2,0.7889
OH,2007,Sean Baker,2,0.7865
OH,2007,Marcus O'Hara,2,0.7861
OH,2007,Jerome Royal,2,0.7802
OH,2007,Jason Williams,2,0.7767
OH,2007,Charles Matthews,2,0.7766
OH,2007,Ryan Simpson,2,0.7736
OH,2007,D.C. Alexander,2,0.7692
OH,2007,Marcus Burton,2,0.7674
OH,2007,Sean Fobbs,2,0.7667
OH,2007,Marquinn Davis,2,0.7667
OH,2007,Anthony Kokal,2,0.7667
OH,2007,Eric McLaughlin,2,0.7667
OH,2007,Mike Madsen,2,0.7667
OH,2007,Brian Peters,2,0.7667
OH,2007,Riley Dunlop,2,0.7667
OH,2007,Joe Flading,2,0.7667
OH,2007,Andy Puthoff,2,0.7667
OH,2007,Jeff Spikes,2,0.7667
OH,2007,Jon Wells,2,0.7667
OH,2007,Josh Copeland,2,0.7660
OH,2007,Garrett Celek,2,0.7556
OH,2007,Derrick Henry,2,0.7444
OH,2007,Michael Page,2,0.7444
OH,2007,Lorren Womack,2,0.7444
OH,2007,Chris Anzevino,2,0.7444
